Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume,SMA_14,EMA_14,RSI,MACD,USD_JPY,VIX,Monthly_Return,Price_Change,Target
Ticker,JPY=X,TSLA,^VIX,JPY=X,TSLA,^VIX,JPY=X,TSLA,^VIX,JPY=X,TSLA,^VIX,JPY=X,TSLA,^VIX,JPY=X,TSLA,^VIX,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-23,87.5199966430664,1.4193329811096191,23.469999313354492,87.5199966430664,1.4193329811096191,23.469999313354492,87.5199966430664,1.4373329877853394,25.170000076293945,86.73600006103516,1.4040000438690186,23.31999969482422,87.1500015258789,1.4126670360565186,24.790000915527344,0.0,9804000.0,0.0,1.2716666460037231,1.3583915751713287,60.358797230782606,-0.035171569265558755,87.5199966430664,23.469999313354492,0.01380928948622584,0.0047186951227436245,0
2010-07-26,86.99800109863281,1.3966670036315918,22.729999542236328,86.99800109863281,1.3966670036315918,22.729999542236328,87.69999694824219,1.4333330392837524,24.610000610351562,86.81999969482422,1.3533329963684082,22.700000762939453,87.51000213623047,1.4333330392837524,24.3700008392334,0.0,13833000.0,0.0,1.294714289052146,1.3634949656326971,57.73212396427579,-0.029398521501669217,86.99800109863281,22.729999542236328,-0.015969457329390924,-0.025580960354114873,0
2010-07-27,87.81600189208984,1.3700000047683716,23.190000534057617,87.81600189208984,1.3700000047683716,23.190000534057617,87.96399688720703,1.4119999408721924,23.56999969482422,86.83000183105469,1.3506669998168945,21.860000610351562,87.00800323486328,1.3940000534057617,21.889999389648438,0.0,9295500.0,0.0,1.317333357674735,1.3643623041841204,54.715242950927845,-0.0266677344563524,87.81600189208984,23.190000534057617,-0.019093312001988383,-0.01721667698559569,1
2010-07-28,87.4520034790039,1.3813329935073853,24.25,87.4520034790039,1.3813329935073853,24.25,88.09100341796875,1.3933329582214355,24.540000915527344,87.28600311279297,1.3673330545425415,22.239999771118164,87.00800323486328,1.3700000047683716,23.93000030517578,0.0,7008000.0,0.0,1.332857140472957,1.3666250627605558,55.77299333415265,-0.023320267049002252,87.4520034790039,24.25,0.008272254525232503,0.008272254525232474,0
2010-07-29,86.68299865722656,1.3566670417785645,24.1299991607666,86.68299865722656,1.3566670417785645,24.1299991607666,87.48400115966797,1.3919999599456787,25.540000915527344,86.58000183105469,1.3333330154418945,23.040000915527344,87.45600128173828,1.3846670389175415,23.399999618530273,0.0,9240000.0,0.0,1.3469047886984689,1.3652973266296238,52.87802082387765,-0.022399503639286333,86.68299865722656,24.1299991607666,-0.017856629679271374,-0.020221465776253292,0
2010-07-30,86.44000244140625,1.329332947731018,23.5,86.44000244140625,1.329332947731018,23.5,86.79000091552734,1.3626669645309448,27.31999969482422,85.99800109863281,1.303333044052124,23.350000381469727,86.66999816894531,1.3466670513153076,25.469999313354492,0.0,6403500.0,0.0,1.360666641167232,1.3605020761098097,49.793520542785686,-0.02360334033758349,86.44000244140625,23.5,-0.020147975299607768,-0.01287185542065435,1
2010-08-02,86.5979995727539,1.3946670293807983,22.010000228881836,86.5979995727539,1.3946670293807983,22.010000228881836,86.86100006103516,1.3980000019073486,23.239999771118164,86.31999969482422,1.3553329706192017,21.739999771118164,86.37999725341797,1.3666670322418213,23.06999969482422,0.0,10771500.0,0.0,1.3739047901971,1.3650574032126082,56.347939015502604,-0.01906569772928579,86.5979995727539,22.010000228881836,0.049148019509556384,0.020487797304254183,1
2010-08-03,85.77999877929688,1.463333010673523,22.6299991607666,85.77999877929688,1.463333010673523,22.6299991607666,86.60600280761719,1.463333010673523,23.059999465942383,85.677001953125,1.3880000114440918,21.979999542236328,86.58000183105469,1.399999976158142,22.440000534057617,0.0,18457500.0,0.0,1.383952362196786,1.37816081754073,61.967651129735025,-0.0098156635857094,85.77999877929688,22.6299991607666,0.049234677414874195,0.04523788256709716,0
2010-08-04,85.77999877929688,1.4173330068588257,22.209999084472656,85.77999877929688,1.4173330068588257,22.209999084472656,86.36000061035156,1.4786670207977295,23.690000534057617,85.30999755859375,1.3899999856948853,22.15999984741211,85.79000091552734,1.463333010673523,22.690000534057617,0.0,13695000.0,0.0,1.3904761501720972,1.3833837761164762,56.70137279505787,-0.006126142397633094,85.77999877929688,22.209999084472656,-0.03143508926483185,-0.0314350892648318,0
2010-08-05,86.30000305175781,1.363332986831665,22.100000381469727,86.30000305175781,1.363332986831665,22.100000381469727,86.43000030517578,1.4366669654846191,23.1299991607666,85.78199768066406,1.3366669416427612,22.06999969482422,86.27999877929688,1.4359999895095825,23.040000915527344,0.0,11943000.0,0.0,1.3895713601793562,1.3807103375451681,51.20047585957191,-0.00747337221087796,86.30000305175781,22.100000381469727,-0.03809974068609223,-0.0506037626802034,0
2010-08-06,85.83300018310547,1.305999994277954,21.739999771118164,85.83300018310547,1.305999994277954,21.739999771118164,86.17400360107422,1.343999981880188,23.889999389648438,85.03600311279297,1.301332950592041,21.719999313354492,85.81999969482422,1.340000033378601,23.34000015258789,0.0,11128500.0,0.0,1.3785237159047807,1.370748958442873,46.088085835305364,-0.013017299565016849,85.83300018310547,21.739999771118164,-0.042053550458681865,-0.025373162875915144,1
2010-08-09,85.34400177001953,1.3066669702529907,22.139999389648438,85.34400177001953,1.3066669702529907,22.139999389648438,85.87999725341797,1.3320000171661377,22.8700008392334,85.33000183105469,1.2966669797897339,21.360000610351562,85.34400177001953,1.3266669511795044,21.850000381469727,0.0,12190500.0,0.0,1.3751904283251082,1.3622046933508887,46.15544272968081,-0.017159281037458562,85.34400177001953,22.139999389648438,0.0005107013613774303,-0.015075359274407356,0
2010-08-10,85.89700317382812,1.2686669826507568,22.3700008392334,85.89700317382812,1.2686669826507568,22.3700008392334,86.19599914550781,1.309999942779541,24.239999771118164,85.63200378417969,1.254667043685913,22.170000076293945,85.88800048828125,1.309999942779541,23.299999237060547,0.0,19219500.0,0.0,1.3695237806865148,1.349732998590871,42.8691930318798,-0.02324021389681552,85.89700317382812,22.3700008392334,-0.029081616408254796,-0.03155187933908183,0
2010-08-11,85.36000061035156,1.1933330297470093,25.389999389648438,85.36000061035156,1.1933330297470093,25.389999389648438,85.44499969482422,1.2586669921875,26.100000381469727,84.74800109863281,1.190000057220459,24.959999084472656,85.35700225830078,1.246000051498413,24.959999084472656,0.0,11964000.0,0.0,1.3547618559428625,1.3288796694116896,37.212546824370534,-0.03374917789123355,85.36000061035156,25.389999389648438,-0.05938040000563782,-0.04226887606310094,0
2010-08-12,85.1719970703125,1.1733330488204956,25.729999542236328,85.1719970703125,1.1733330488204956,25.729999542236328,85.95999908447266,1.1933330297470093,27.209999084472656,84.927001953125,1.1593329906463623,25.18000030517578,85.19999694824219,1.1866669654846191,27.209999084472656,0.0,10365000.0,0.0,1.3371904322079249,1.3081401199995304,35.85971428112431,-0.04319353074833443,85.1719970703125,25.729999542236328,-0.016759764816661193,-0.011236443797589106,1
